location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
"Haldia, Haldia - WBPCB",Haldia,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,pm10,59,µg/m³,22.06047,88.109737,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Vasundhara, Ghaziabad, UP - UPPCB",Ghaziabad,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,pm25,207,µg/m³,28.6603346,77.3572563,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Ward-32 Bapupara, Siliguri - WBPCB",Siliguri,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,so2,7,µg/m³,26.6883049,88.412668,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Ardhali Bazar, Varanasi - UPPCB",Varanasi,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,so2,35,µg/m³,25.3505986,82.9083074,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Ardhali Bazar, Varanasi - UPPCB",Varanasi,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,co,56000,µg/m³,25.3505986,82.9083074,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Ardhali Bazar, Varanasi - UPPCB",Varanasi,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,pm10,208,µg/m³,25.3505986,82.9083074,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Central University, Hyderabad - TSPCB",Hyderabad,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,so2,4,µg/m³,17.460103,78.334361,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Central University, Hyderabad - TSPCB",Hyderabad,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,no2,56,µg/m³,17.460103,78.334361,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Ardhali Bazar, Varanasi - UPPCB",Varanasi,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,no2,113,µg/m³,25.3505986,82.9083074,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Haldia, Haldia - WBPCB",Haldia,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,o3,25,µg/m³,22.06047,88.109737,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Ward-32 Bapupara, Siliguri - WBPCB",Siliguri,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,pm25,250,µg/m³,26.6883049,88.412668,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Lajpat Nagar, Moradabad - UPPCB",Moradabad,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,o3,98,µg/m³,28.825341,78.7213009,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Haldia, Haldia - WBPCB",Haldia,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,co,13000,µg/m³,22.06047,88.109737,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"IDA Pashamylaram, Hyderabad - TSPCB",Hyderabad,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,co,45000,µg/m³,17.5316895,78.218939,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"IDA Pashamylaram, Hyderabad - TSPCB",Hyderabad,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,pm25,76,µg/m³,17.5316895,78.218939,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Lajpat Nagar, Moradabad - UPPCB",Moradabad,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,pm25,273,µg/m³,28.825341,78.7213009,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Padmapukur, Howrah - WBPCB",Howrah,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,no2,20,µg/m³,22.5687319,88.2797276,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Sanjay Palace, Agra - UPPCB",Agra,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,o3,15,µg/m³,27.19865833,78.00598056,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
"Sector - 62, Noida, UP - IMD",Noida,IN,2018-04-04T06:30:00.000Z,2018-04-04T12:00:00+05:30,o3,33,µg/m³,28.6245479,77.3577104,"[{""name"":""Central Pollution Control Board"",""url"":""https://app.cpcbccr.com/ccr/#/caaqm-dashboard-all/caaqm-landing""},{""name"":""data.gov.in"",""url"":""https://data.gov.in/resources/real-time-air-quality-index-various-locations""}]"
